NPI,Name,Physician,Specialty,Entity_Name,ECP_Category,Street,City,State,County,Zip,Networks,Carrier,name_location_carrier,locations
1932596350,High Plains Holly Clinic,Non-Physician,000 OTHER,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED", Rural Health Clinics,410 W. Colorado,Holly,CO,Prowers,81047,"CON002, CON003",Anthem BCBS,"High Plains Holly Clinic: 410 W. Colorado, Holly, CO, 81047: Anthem BCBS","410 W. Colorado, Holly, CO, 81047"
1013911437,Northeast Colorado Health Department,Non-Physician,006 Primary Care - Nurse Practitioner,Northeast Colorado Health Department,Family Planning Providers,127 E Denver St,Holyoke,CO,Phillips,80734-1553,"CON002, CON003",Anthem BCBS,"Northeast Colorado Health Department: 127 E Denver St, Holyoke, CO, 80734-1553: Anthem BCBS","127 E Denver St, Holyoke, CO, 80734-1553"
1013911437,Northeast Colorado Health Department,Non-Physician,006 Primary Care - Nurse Practitioner,Northeast Colorado Health Department,Family Planning Providers,118 W 3rd St,Julesburg,CO,Sedgwick,80737-1542,"CON002, CON003",Anthem BCBS,"Northeast Colorado Health Department: 118 W 3rd St, Julesburg, CO, 80737-1542: Anthem BCBS","118 W 3rd St, Julesburg, CO, 80737-1542"
1205255304,Health Center at Kiowa,Non-Physician,005 Primary Care - Physician Assistant,PEAK VISTA COMMUNITY HEALTH CENTERS,Federally Qualified Health Centers,320 Comanche St,Kiowa,CO,Elbert,80117,"CON002, CON003",Anthem BCBS,"Health Center at Kiowa: 320 Comanche St, Kiowa, CO, 80117: Anthem BCBS","320 Comanche St, Kiowa, CO, 80117"
1437314481,Alameda High School Kids and Teens Health Center,Non-Physician,000 OTHER,Metro Community Provider Network,Federally Qualified Health Centers,1255 S Wadsworth Blvd,Lakewood,CO,Jefferson,80232-5406,"CON002, CON003",Anthem BCBS,"Alameda High School Kids and Teens Health Center: 1255 S Wadsworth Blvd, Lakewood, CO, 80232-5406: Anthem BCBS","1255 S Wadsworth Blvd, Lakewood, CO, 80232-5406"
1326203399,STEIN KIDS HEALTH CENTER,Non-Physician,000 OTHER,"METRO COMMUNITY PROVIDER NETWORK, INC.",Federally Qualified Health Centers,80 S Teller St,Lakewood,CO,Jefferson,80226-2044,"CON002, CON003",Anthem BCBS,"STEIN KIDS HEALTH CENTER: 80 S Teller St, Lakewood, CO, 80226-2044: Anthem BCBS","80 S Teller St, Lakewood, CO, 80226-2044"
1770865644,High Plains Adult Community Health Center,Non-Physician,000 OTHER,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED",Federally Qualified Health Centers,2221 Wellness Way,Lamar,CO,Prowers,81052-3867,"CON002, CON003",Anthem BCBS,"High Plains Adult Community Health Center: 2221 Wellness Way, Lamar, CO, 81052-3867: Anthem BCBS","2221 Wellness Way, Lamar, CO, 81052-3867"
1770865644,High Plains Adult Community Health Center,Non-Physician,000 OTHER,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED", Rural Health Clinics,2221 Wellness Way,Lamar,CO,Prowers,81052-3867,"CON002, CON003",Anthem BCBS,"High Plains Adult Community Health Center: 2221 Wellness Way, Lamar, CO, 81052-3867: Anthem BCBS","2221 Wellness Way, Lamar, CO, 81052-3867"
1275813982,LCC CAMPUS HEALTH CLINIC,Physician,002 Family Medicine,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED",Federally Qualified Health Centers,2401 S Main St,Lamar,CO,Prowers,81052-3912,"CON002, CON003",Anthem BCBS,"LCC CAMPUS HEALTH CLINIC: 2401 S Main St, Lamar, CO, 81052-3912: Anthem BCBS","2401 S Main St, Lamar, CO, 81052-3912"
1275813982,LCC CAMPUS HEALTH CLINIC,Physician,002 Family Medicine,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED", Rural Health Clinics,2401 S Main St,Lamar,CO,Prowers,81052-3912,"CON002, CON003",Anthem BCBS,"LCC CAMPUS HEALTH CLINIC: 2401 S Main St, Lamar, CO, 81052-3912: Anthem BCBS","2401 S Main St, Lamar, CO, 81052-3912"
1437533031,Lake School Based Health Center,Non-Physician,006 Primary Care - Nurse Practitioner,"Summit Community Care Clinic, Inc.", Family Planning Providers,1000 W 4th St,Leadville,CO,Lake,80461-3800,"CON002, CON003",Anthem BCBS,"Lake School Based Health Center: 1000 W 4th St, Leadville, CO, 80461-3800: Anthem BCBS","1000 W 4th St, Leadville, CO, 80461-3800"
1437533031,Lake School Based Health Center,Non-Physician,006 Primary Care - Nurse Practitioner,"Summit Community Care Clinic, Inc.", Federally Qualified Health Centers,1000 W 4th St,Leadville,CO,Lake,80461-3800,"CON002, CON003",Anthem BCBS,"Lake School Based Health Center: 1000 W 4th St, Leadville, CO, 80461-3800: Anthem BCBS","1000 W 4th St, Leadville, CO, 80461-3800"
1881743631,Planned Parenthood of the Rocky Mountains--Longmont,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,195 S Main St,Longmont,CO,Boulder,80501-6218,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Longmont: 195 S Main St, Longmont, CO, 80501-6218: Anthem BCBS","195 S Main St, Longmont, CO, 80501-6218"
1881743631,Planned Parenthood of the Rocky Mountains--Longmont,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,195 S Main St,Longmont,CO,Boulder,80501-6218,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Longmont: 195 S Main St, Longmont, CO, 80501-6218: Anthem BCBS","195 S Main St, Longmont, CO, 80501-6218"
1881743631,Planned Parenthood of the Rocky Mountains--Longmont,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,195 S Main St,Longmont,CO,Boulder,80501-6218,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Longmont: 195 S Main St, Longmont, CO, 80501-6218: Anthem BCBS","195 S Main St, Longmont, CO, 80501-6218"
1750660726,SUNRISE SUMMITSTONE CLINIC,Physician,002 Family Medicine,SUNRISE COMMUNITY HEALTH,Federally Qualified Health Centers,1250 N Wilson Ave,Loveland,CO,Larimer,80537-4461,"CON002, CON003",Anthem BCBS,"SUNRISE SUMMITSTONE CLINIC: 1250 N Wilson Ave, Loveland, CO, 80537-4461: Anthem BCBS","1250 N Wilson Ave, Loveland, CO, 80537-4461"
1881681104,Moffat Family Health Center,Physician,002 Family Medicine,"VALLEY WIDE HEALTH SYSTEMS, INC.",Federally Qualified Health Centers,545 Moffat Way,Moffat,CO,Saguache,81143,"CON002, CON003",Anthem BCBS,"Moffat Family Health Center: 545 Moffat Way, Moffat, CO, 81143: Anthem BCBS","545 Moffat Way, Moffat, CO, 81143"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Anthem BCBS","12543 N State Highway 83, Parker, CO, 80134-8800"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Anthem BCBS","12543 N State Highway 83, Parker, CO, 80134-8800"
1881743631,Planned Parenthood of the Rocky Mountains--Parker Express,Physician,016 Gynecology (OB/GYN),"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,12543 N State Highway 83,Parker,CO,Douglas,80134-8800,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Parker Express: 12543 N State Highway 83, Parker, CO, 80134-8800: Anthem BCBS","12543 N State Highway 83, Parker, CO, 80134-8800"
1619224987,Falcon Peak School Based Health Center,Non-Physician,000 OTHER,PEAK VISTA COMMUNITY HEALTH CENTERS,Federally Qualified Health Centers,12050 Falcon Hwy,Peyton,CO,El Paso,80831-8076,"CON002, CON003",Anthem BCBS,"Falcon Peak School Based Health Center: 12050 Falcon Hwy, Peyton, CO, 80831-8076: Anthem BCBS","12050 Falcon Hwy, Peyton, CO, 80831-8076"
1881743631,Planned Parenthood of the Rocky Mountains--Salida,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,233 E 2nd St,Salida,CO,Chaffee,81201-2116,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Salida: 233 E 2nd St, Salida, CO, 81201-2116: Anthem BCBS","233 E 2nd St, Salida, CO, 81201-2116"
1881743631,Planned Parenthood of the Rocky Mountains--Salida,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,233 E 2nd St,Salida,CO,Chaffee,81201-2116,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Salida: 233 E 2nd St, Salida, CO, 81201-2116: Anthem BCBS","233 E 2nd St, Salida, CO, 81201-2116"
1881743631,Planned Parenthood of the Rocky Mountains--Salida,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,233 E 2nd St,Salida,CO,Chaffee,81201-2116,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains--Salida: 233 E 2nd St, Salida, CO, 81201-2116: Anthem BCBS","233 E 2nd St, Salida, CO, 81201-2116"
1881743631,Planned Parenthood of the Rocky Mountains - Steamboat Springs,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,111 11th St,Steamboat Springs,CO,Routt,80477,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Steamboat Springs: 111 11th St, Steamboat Springs, CO, 80477: Anthem BCBS","111 11th St, Steamboat Springs, CO, 80477"
1881743631,Planned Parenthood of the Rocky Mountains - Steamboat Springs,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,111 11th St,Steamboat Springs,CO,Routt,80477,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Steamboat Springs: 111 11th St, Steamboat Springs, CO, 80477: Anthem BCBS","111 11th St, Steamboat Springs, CO, 80477"
1881743631,Planned Parenthood of the Rocky Mountains - Steamboat Springs,Physician,002 Family Medicine,"Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,111 11th St,Steamboat Springs,CO,Routt,80477,"CON002, CON003",Anthem BCBS,"Planned Parenthood of the Rocky Mountains - Steamboat Springs: 111 11th St, Steamboat Springs, CO, 80477: Anthem BCBS","111 11th St, Steamboat Springs, CO, 80477"
1013911437,Northeast Colorado Health Department,Non-Physician,006 Primary Care - Nurse Practitioner,Northeast Colorado Health Dept,Family Planning Providers,700 Columbine St,Sterling,CO,Logan,80751-3728,"CON002, CON003",Anthem BCBS,"Northeast Colorado Health Department: 700 Columbine St, Sterling, CO, 80751-3728: Anthem BCBS","700 Columbine St, Sterling, CO, 80751-3728"
1588803050,Walsh Medical Clinic,Physician,002 Family Medicine,Walsh Medical Clinic,Rural Health Clinics,137 S Kansas St,Walsh,CO,Baca,81090,"CON002, CON003",Anthem BCBS,"Walsh Medical Clinic: 137 S Kansas St, Walsh, CO, 81090: Anthem BCBS","137 S Kansas St, Walsh, CO, 81090"
1912349465,High Plains Wiley Clinic,Non-Physician,006 Primary Care - Nurse Practitioner,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED",Federally Qualified Health Centers,302 Main St,Wiley,CO,Prowers,81092,"CON002, CON003",Anthem BCBS,"High Plains Wiley Clinic: 302 Main St, Wiley, CO, 81092: Anthem BCBS","302 Main St, Wiley, CO, 81092"
1912349465,High Plains Wiley Clinic,Non-Physician,006 Primary Care - Nurse Practitioner,"HIGH PLAINS COMMUNITY HEALTH CENTER, INCORPORATED", Rural Health Clinics,302 Main St,Wiley,CO,Prowers,81092,"CON002, CON003",Anthem BCBS,"High Plains Wiley Clinic: 302 Main St, Wiley, CO, 81092: Anthem BCBS","302 Main St, Wiley, CO, 81092"
1013911437,Northeast Colorado Health Department,Non-Physician,006 Primary Care - Nurse Practitioner,Northeast Colorado Health Department,Family Planning Providers,529 N Albany St,Yuma,CO,Yuma,80759-1526,"CON002, CON003",Anthem BCBS,"Northeast Colorado Health Department: 529 N Albany St, Yuma, CO, 80759-1526: Anthem BCBS","529 N Albany St, Yuma, CO, 80759-1526"
1013911437,Northeast Colorado Health Department,Non-Physician,006 Primary Care - Nurse Practitioner,Northeast Colorado Health Department,Family Planning Providers,228 W Railroad Ave,Fort Morgan,CO,Morgan,80701-2324,"CON002, CON003",Anthem BCBS,"Northeast Colorado Health Department: 228 W Railroad Ave, Fort Morgan, CO, 80701-2324: Anthem BCBS","228 W Railroad Ave, Fort Morgan, CO, 80701-2324"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,1560 12th St,Alamosa,CO,Alamosa,81101-3709,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Bright","1560 12th St, Alamosa, CO, 81101-3709"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,1560 12th St,Alamosa,CO,Alamosa,81101-3709,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Bright","1560 12th St, Alamosa, CO, 81101-3709"
1881743631,Planned Parenthood of the Rocky Mountains - Alamosa,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Sexually Transmitted Disease Clinics,1560 12th St,Alamosa,CO,Alamosa,81101-3709,CON001,Bright,"Planned Parenthood of the Rocky Mountains - Alamosa: 1560 12th St, Alamosa, CO, 81101-3709: Bright","1560 12th St, Alamosa, CO, 81101-3709"
1336245828,"Children's Hospital Colorado Orthopedic Care, Centennial",Physician,Outpatient Hospital Clinics,Children's Hospital Colorado,Outpatient Hospital Clinics,9094 E Mineral Cir,Centennial,CO,Arapahoe,80112-7201,CON001,Bright,"Children's Hospital Colorado Orthopedic Care, Centennial: 9094 E Mineral Cir, Centennial, CO, 80112-7201: Bright","9094 E Mineral Cir, Centennial, CO, 80112-7201"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.",Family Planning Providers,20 W North St,Cortez,CO,Montezuma,81321-3117,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Bright","20 W North St, Cortez, CO, 81321-3117"
1881743631,Planned Parenthood of the Rocky Mountains--Cortez,Physician,"Family Planning Providers, Rural Health Clinics, Sexually Transmitted Disease Clinics","Planned Parenthood of the Rocky Mountains, Inc.", Rural Health Clinics,20 W North St,Cortez,CO,Montezuma,81321-3117,CON001,Bright,"Planned Parenthood of the Rocky Mountains--Cortez: 20 W North St, Cortez, CO, 81321-3117: Bright","20 W North St, Cortez, CO, 81321-3117"
